img_path, coherence
./data/negative/img.1.jpg, 0.128
./data/negative/img.2.jpg, 0.512
./data/negative/img.3.jpg, 0.128
./data/negative/img.4.jpg, 0.128
./data/negative/img.5.jpg, 0.768
./data/negative/img.6.jpg, 0.128
./data/negative/img.7.jpg, 0.512
./data/negative/img.8.jpg, 0.128
./data/negative/img.9.jpg, 0.512
./data/negative/img.10.jpg, 0.768
./data/negative/img.11.jpg, 0.768
./data/negative/img.12.jpg, 0.768
./data/negative/img.13.jpg, 0.768
./data/negative/img.14.jpg, 0.512
./data/negative/img.15.jpg, 0.512
./data/negative/img.16.jpg, 0.128
./data/negative/img.17.jpg, 0.768
./data/negative/img.18.jpg, 0.512
./data/negative/img.19.jpg, 0.768
./data/negative/img.20.jpg, 0.512
./data/negative/img.21.jpg, 0.512
./data/negative/img.22.jpg, 0.768
./data/negative/img.23.jpg, 0.768
./data/negative/img.24.jpg, 0.768
./data/negative/img.25.jpg, 0.768
./data/negative/img.26.jpg, 0.128
./data/negative/img.27.jpg, 0.128
./data/negative/img.28.jpg, 0.128
./data/negative/img.29.jpg, 0.768
./data/negative/img.30.jpg, 0.512
