trial_id,img_path,img_label,Coherence,RT,decision,correct
1,./data/negative/img.5.jpg,negative,0.768,0.5433344841003418,1,False
2,./data/negative/img.14.jpg,negative,0.512,0.8172852993011475,0,True
3,./data/positive/img.19.jpg,positive,0.768,0.7849111557006836,1,True
4,./data/negative/img.29.jpg,negative,0.768,0.45331263542175293,0,True
5,./data/positive/img.13.jpg,positive,0.768,0.5633556842803955,1,True
6,./data/positive/img.21.jpg,positive,0.512,0.7307813167572021,1,True
7,./data/positive/img.1.jpg,positive,0.128,0.8418700695037842,0,False
8,./data/positive/img.8.jpg,positive,0.128,0.6355235576629639,1,True
9,./data/negative/img.1.jpg,negative,0.128,0.5340707302093506,0,True
10,./data/negative/img.19.jpg,negative,0.768,0.8968608379364014,0,True
1,./data/positive/img.8.jpg,positive,0.128,0.4852938652038574,1,True
2,./data/positive/img.22.jpg,positive,0.768,0.772458553314209,1,True
3,./data/negative/img.10.jpg,negative,0.768,0.7048051357269287,0,True
4,./data/negative/img.29.jpg,negative,0.768,0.5203628540039062,0,True
5,./data/negative/img.23.jpg,negative,0.768,0.7122697830200195,0,True
6,./data/negative/img.25.jpg,negative,0.768,0.6350867748260498,0,True
7,./data/positive/img.9.jpg,positive,0.512,0.6159844398498535,1,True
8,./data/negative/img.20.jpg,negative,0.512,0.04916691780090332,1,False
9,./data/positive/img.18.jpg,positive,0.512,0.7660737037658691,1,True
10,./data/positive/img.4.jpg,positive,0.128,0.6179134845733643,1,True
1,./data/positive/img.23.jpg,positive,0.768,0.7788622379302979,1,True
2,./data/negative/img.11.jpg,negative,0.768,0.47829270362854004,0,True
3,./data/negative/img.5.jpg,negative,0.768,0.20116615295410156,1,False
4,./data/negative/img.4.jpg,negative,0.128,0.8673872947692871,0,True
5,./data/positive/img.3.jpg,positive,0.128,0.992755651473999,1,True
6,./data/negative/img.23.jpg,negative,0.768,0.6957082748413086,1,False
7,./data/negative/img.25.jpg,negative,0.768,0.9852452278137207,0,True
8,./data/positive/img.13.jpg,positive,0.768,0.6859982013702393,1,True
9,./data/positive/img.27.jpg,positive,0.128,0.691880464553833,1,True
10,./data/positive/img.12.jpg,positive,0.768,0.6657106876373291,1,True
1,./data/positive/img.21.jpg,positive,0.512,0.6776416301727295,1,True
2,./data/negative/img.18.jpg,negative,0.512,0.21605753898620605,0,True
3,./data/positive/img.9.jpg,positive,0.512,0.8377664089202881,0,False
4,./data/negative/img.8.jpg,negative,0.128,0.7616755962371826,0,True
5,./data/positive/img.7.jpg,positive,0.512,0.13876795768737793,0,False
6,./data/negative/img.15.jpg,negative,0.512,0.013521909713745117,0,True
7,./data/negative/img.13.jpg,negative,0.768,0.7665700912475586,0,True
8,./data/positive/img.20.jpg,positive,0.512,0.7562310695648193,1,True
9,./data/negative/img.28.jpg,negative,0.128,0.6742579936981201,0,True
10,./data/positive/img.25.jpg,positive,0.768,0.6507608890533447,1,True
1,./data/negative/img.14.jpg,negative,0.512,0.6472122669219971,0,True
2,./data/positive/img.20.jpg,positive,0.512,0.11185383796691895,1,True
3,./data/positive/img.8.jpg,positive,0.128,0.749521017074585,1,True
4,./data/positive/img.22.jpg,positive,0.768,1.0005202293395996,1,True
5,./data/positive/img.7.jpg,positive,0.512,0.796393871307373,0,False
6,./data/positive/img.24.jpg,positive,0.768,0.35286736488342285,1,True
7,./data/negative/img.20.jpg,negative,0.512,0.7377655506134033,0,True
8,./data/negative/img.6.jpg,negative,0.128,0.5957682132720947,0,True
9,./data/negative/img.1.jpg,negative,0.128,0.4682168960571289,0,True
10,./data/negative/img.15.jpg,negative,0.512,0.6657834053039551,0,True
1,./data/negative/img.26.jpg,negative,0.128,0.4185786247253418,0,True
2,./data/positive/img.25.jpg,positive,0.768,0.3260152339935303,1,True
